id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
B0G0VAKTUE,[],口腔诊所,医疗保健服务;诊所;诊所,曹安公路2825号附近,121.323167,31.263861,090300,310000,上海市,21,上海市,310114,嘉定区,
B0GKPYUFH7,[],江桥镇星火村联勤卫生站,医疗保健服务;诊所;诊所,金园一路288附近,121.31789,31.259266,090300,310000,上海市,21,上海市,310114,嘉定区,
B0FFI0SVP0,[],莉康尔手足皮肤健康(学北路店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,学北路35号,121.705162,31.189862,090000,310000,上海市,21,上海市,310115,浦东新区,
B00154LEGQ,[],上海市浦东新区人民医院,医疗保健服务;综合医院;综合医院,川环南路490号,121.703422,31.189467,090100,310000,上海市,21,上海市,310115,浦东新区,
B001554806,[],上海新川门诊部,医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所,川沙新镇新川路280号,121.702897,31.194495,090202|090300,310000,上海市,21,上海市,310115,浦东新区,
B0FFG95WAM,[],童鹤养生堂,医疗保健服务;医疗保健服务场所;医疗保健服务场所,西市街142号,121.699896,31.196197,090000,310000,上海市,21,上海市,310115,浦东新区,
B0G03CGMZP,[],上海新川门诊部中医科,医疗保健服务;诊所;诊所,新川路280号新川门诊部一楼中医门诊部,121.702822,31.194615,090300,310000,上海市,21,上海市,310115,浦东新区,
B0FFH1ZDGW,[],内科外科,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新川路与石皮路交叉口西北50米,121.702793,31.194483,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFLGBANY,[],陈同养生馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,商汇步行街,121.705215,31.190319,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFG958TE,[],满和堂艾灸理疗馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,西市街86弄-1-13号,121.701097,31.196512,090000,310000,上海市,21,上海市,310115,浦东新区,
B0GU7LL1AO,[],浦东中医馆,医疗保健服务;诊所;诊所,[],121.703627,31.195871,090300,310000,上海市,21,上海市,310115,浦东新区,
B0G06KJW58,[],上海养和堂中医门诊部,医疗保健服务;诊所;诊所,,121.703593,31.195859,090300,310000,上海市,21,上海市,310115,浦东新区,
B0G0T4D5H7,[],福常康中医诊所,医疗保健服务;诊所;诊所,川沙镇川黄路248弄15号,121.705138,31.189916,090300,310000,上海市,21,上海市,310115,浦东新区,
B0FFL9K6WM,[],新园保健茶,医疗保健服务;医疗保健服务场所;医疗保健服务场所,川沙新镇西市街80号,121.701316,31.196628,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFIAVP9N,[],复春堂,医疗保健服务;医疗保健服务场所;医疗保健服务场所,中市街与乔家弄交叉口南50米,121.704321,31.195803,090000,310000,上海市,21,上海市,310115,浦东新区,
B0G3JG2I51,[],七足堂手足皮肤健康驿站,医疗保健服务;医疗保健服务场所;医疗保健服务场所,西市街,121.702334,31.196468,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFGD3PB7,[],莉康尔灰指甲手足癣(川沙店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,学北路49号附近,121.705026,31.190078,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFIA2XLF,[],人参如意长白山参茸酒坊,医疗保健服务;医疗保健服务场所;医疗保健服务场所,学北路与川黄路交叉口西50米,121.704784,31.189783,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFH7NJVR,[],浦东新区野生动物疫源疫病监测点,医疗保健服务;疾病预防机构;疾病预防,城南路363号,121.702765,31.191779,090500,310000,上海市,21,上海市,310115,浦东新区,
B0FFJRXAD9,[],浦东新区人民医院犬伤处置门诊,医疗保健服务;医疗保健服务场所;医疗保健服务场所,川环南路490号,121.703419,31.188757,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFLGB40W,[],痛风,医疗保健服务;医疗保健服务场所;医疗保健服务场所,[],121.704901,31.19464,090000,310000,上海市,21,上海市,310115,浦东新区,
B00156E148,[],浦东新区周浦医院康桥分院,医疗保健服务;综合医院;卫生院,拯安路59号,121.615768,31.140185,090102,310000,上海市,21,上海市,310115,浦东新区,
B0G39XXH8G,[],珍奥(创业店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,康桥镇川周公路87弄21号102室,121.613482,31.142012,090000,310000,上海市,21,上海市,310115,浦东新区,
